-10	1.79231
-9.8	1.88592
-9.6	1.9422
-9.4	1.95901
-9.2	1.93577
-9	1.87348
-8.8	1.77473
-8.6	1.64353
-8.4	1.48519
-8.2	1.30609
-8	1.11345
-7.8	0.91501
-7.6	0.718743
-7.4	0.532533
-7.2	0.363859
-7	0.219496
-6.8	0.105249
-6.6	0.0257167
-6.4	-0.0158844
-6.2	-0.0178535
-6	0.0199295
-5.8	0.0959992
-5.6	0.207363
-5.4	0.349623
-5.2	0.517146
-5	0.703295
-4.8	0.900689
-4.6	1.1015
-4.4	1.29776
-4.2	1.48169
-4	1.64599
-3.8	1.78415
-3.6	1.8907
-3.4	1.96143
-3.2	1.99356
-3	1.98582
-2.8	1.93857
-2.6	1.85372
-2.4	1.73466
-2.2	1.58617
-2	1.41419
-1.8	1.22559
-1.6	1.0279
-1.4	0.829019
-1.2	0.636885
-1	0.459163
-0.8	0.302947
-0.6	0.174467
-0.4	0.0788507
-0.2	0.0199112
0	0
0.2	0.0199112
0.4	0.0788507
0.6	0.174467
0.8	0.302947
1	0.459163
1.2	0.636885
1.4	0.829019
1.6	1.0279
1.8	1.22559
2	1.41419
2.2	1.58617
2.4	1.73466
2.6	1.85372
2.8	1.93857
3	1.98582
3.2	1.99356
3.4	1.96143
3.6	1.8907
3.8	1.78415
4	1.64599
4.2	1.48169
4.4	1.29776
4.6	1.1015
4.8	0.900689
5	0.703295
5.2	0.517146
5.4	0.349623
5.6	0.207363
5.8	0.0959992
6	0.0199295
6.2	-0.0178535
6.4	-0.0158844
6.6	0.0257167
6.8	0.105249
7	0.219496
7.2	0.363859
7.4	0.532533
7.6	0.718743
7.8	0.91501
8	1.11345
8.2	1.30609
8.4	1.48519
8.6	1.64353
8.8	1.77473
9	1.87348
9.2	1.93577
9.4	1.95901
9.6	1.9422
9.8	1.88592
10	1.79231
